,Unnamed: 0,date,start_time,vis_team,home_team,vis_points,home_points,ot,attendance,home_initial,vis_initial,home_players,home_bench,vis_players,vis_bench,referees,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,total_score,class,frac_season,day_hour
83,83,2019-11-02,22:00:00,Philadelphia 76ers,Portland Trail Blazers,129,128,0,19669,POR,PHI,"Damian Lillard,CJ McCollum,Mario Hezonja,Rodney Hood,Anthony Tolliver","Kent Bazemore,Skal Labissière,Anfernee Simons,Gary Trent,Hassan Whiteside,Zach Collins,Nassir Little","Ben Simmons,Tobias Harris,Josh Richardson,Al Horford,Matisse Thybulle","James Ennis,Furkan Korkmaz,Kyle O'Quinn,Mike Scott,Raul Neto,Jonah Bolden,Joel Embiid,Trey Burke","Mousa Dagher,John Goble,Tre Maddox",70.66404639625478,52.12272261549926,66.60297833258359,59.82998875132804,6.0,10.666666666666668,,,114.0,117.0,257,1,0.0625,22.0
84,84,2019-11-03,17:00:00,Chicago Bulls,Indiana Pacers,95,108,0,17073,IND,CHI,"T.J. Warren,Jeremy Lamb,Malcolm Brogdon,JaKarr Sampson,Goga Bitadze","Justin Holiday,T.J. Leaf,T.J. McConnell,Aaron Holiday,Doug McDermott,Brian Bowen,Alize Johnson,Naz Mitrou-Long","Zach LaVine,Lauri Markkanen,Wendell Carter,Otto Porter,Tomáš Satoranský","Thaddeus Young,Coby White,Kris Dunn,Ryan Arcidiacono,Luke Kornet,Shaquille Harrison,Daniel Gafford,Chandler Hutchison","Scott Twardoski,Leon Wood,Sean Wright",54.85968469300105,44.43887561949854,62.07626373626374,59.06066579956372,4.0,18.333333333333336,103.0,106.66666666666669,110.0,101.33333333333331,203,0,0.06818181818181818,17.0
85,85,2019-11-03,18:00:00,Houston Rockets,Miami Heat,100,129,0,19724,MIA,HOU,"Duncan Robinson,Meyers Leonard,Jimmy Butler,Bam Adebayo,Kendrick Nunn","Tyler Herro,Goran Dragić,James Johnson,Kelly Olynyk,Chris Silva,Udonis Haslem,Dion Waiters,Justise Winslow","James Harden,Russell Westbrook,P.J. Tucker,Clint Capela,Eric Gordon","Austin Rivers,Chris Clemons,Ben McLemore,Danuel House,Thabo Sefolosha,Ryan Anderson,Tyson Chandler","Sean Corbin,Jonathan Sterling,Dedric Taylor",71.48527408757823,70.24448798977849,97.40984253869527,39.41319846866524,5.0,30.0,99.33333333333331,120.33333333333331,136.66666666666666,125.0,229,1,0.06818181818181818,18.0
86,86,2019-11-03,18:00:00,Sacramento Kings,New York Knicks,113,92,0,19812,NYK,SAC,"RJ Barrett,Marcus Morris,Julius Randle,Bobby Portis,Frank Ntilikina","Wayne Ellington,Mitchell Robinson,Allonzo Trier,Kevin Knox,Ignas Brazdeikis,Damyean Dotson,Taj Gibson","Harrison Barnes,De'Aaron Fox,Buddy Hield,Richaun Holmes,Nemanja Bjelica","Trevor Ariza,Bogdan Bogdanović,Dewayne Dedmon,Cory Joseph,Wenyen Gabriel,Caleb Swanigan,Yogi Ferrell,Justin James","Marc Davis,Gediminas Petraitis,C.J. Washington",67.58729209387104,42.34924377505683,79.63995726495726,45.85394701167107,4.0,21.33333333333333,109.66666666666669,97.33333333333331,109.66666666666669,96.33333333333331,205,0,0.06818181818181818,18.0
87,87,2019-11-03,19:00:00,Los Angeles Lakers,San Antonio Spurs,103,96,0,18610,SAS,LAL,"DeMar DeRozan,LaMarcus Aldridge,Bryn Forbes,Dejounte Murray,Trey Lyles","Rudy Gay,Derrick White,Patty Mills,Jakob Poeltl,Marco Belinelli,DeMarre Carroll,Lonnie Walker,Chimezie Metu","LeBron James,Anthony Davis,Avery Bradley,Danny Green,JaVale McGee","Kentavious Caldwell-Pope,Dwight Howard,Alex Caruso,Kyle Kuzma,Troy Daniels,Quinn Cook,Jared Dudley","Mark Ayotte,Scott Foster,Justin Van Duyne",69.35806130708379,55.117406031240996,76.0387136672851,45.42647359654854,4.0,25.0,111.66666666666669,111.0,106.0,108.0,199,0,0.06818181818181818,19.0
88,88,2019-11-03,19:30:00,Dallas Mavericks,Cleveland Cavaliers,131,111,0,18078,CLE,DAL,"Kevin Love,Tristan Thompson,Cedi Osman,Darius Garland,Collin Sexton","Larry Nance,Jordan Clarkson,Brandon Knight,Kevin Porter,Tyler Cook,Alfonzo McKinnie","Luka Dončić,Kristaps Porziņģis,Jalen Brunson,Dwight Powell,Seth Curry","Delon Wright,Dorian Finney-Smith,Tim Hardaway,Boban Marjanović,Justin Jackson,Ryan Broekhoff,Courtney Lee,J.J. Barea","Suyash Mehta,Michael Smith,Bill Spooner",73.76398305084746,28.708383838383842,78.07218908576417,44.6594591387885,4.0,21.666666666666664,113.66666666666669,112.66666666666669,111.0,121.0,242,1,0.06818181818181818,19.5
89,89,2019-11-03,21:00:00,Utah Jazz,Los Angeles Clippers,94,105,0,19068,LAC,UTA,"Kawhi Leonard,Patrick Beverley,Landry Shamet,Ivica Zubac,Patrick Patterson","Lou Williams,Montrezl Harrell,JaMychal Green,Maurice Harkless,Rodney McGruder,Terance Mann,Mfiondu Kabengele,Jerome Robinson","Mike Conley,Bojan Bogdanović,Royce O'Neale,Rudy Gobert,Donovan Mitchell","Joe Ingles,Jeff Green,Tony Bradley,Georges Niang,Jarrell Brantley,Nigel Williams-Goss,Stanton Kidd,Miye Oni","Eric Lewis,Rodney Mott,Aaron Smith",57.01159652690863,61.43438486244938,79.58822886615962,29.072547892720305,5.0,19.0,95.66666666666669,106.33333333333331,100.66666666666669,97.0,199,0,0.06818181818181818,21.0
90,90,2019-11-04,19:00:00,Detroit Pistons,Washington Wizards,99,115,0,13052,WAS,DET,"Bradley Beal,Thomas Bryant,Isaiah Thomas,Isaac Bonga,Rui Hachimura","Troy Brown,Dāvis Bertāns,Moritz Wagner,Ish Smith,C.J. Miles,Justin Robinson,Admiral Schofield","Andre Drummond,Bruce Brown,Luke Kennard,Tony Snell,Markieff Morris","Sviatoslav Mykhailiuk,Langston Galloway,Christian Wood,Thon Maker,Jordan Bone,Khyri Thomas","Tony Brown,Mark Lindsay,Natalie Sago",72.80118336210586,46.32647647647648,60.52962701678442,40.33042521994136,4.0,21.666666666666664,129.66666666666666,127.33333333333331,117.33333333333331,106.0,214,0,0.07386363636363637,19.0
91,91,2019-11-04,19:30:00,New Orleans Pelicans,Brooklyn Nets,125,135,0,17194,BRK,NOP,"Taurean Waller-Prince,Caris LeVert,Kyrie Irving,Joe Harris,Jarrett Allen","Garrett Temple,Spencer Dinwiddie,DeAndre Jordan,Rodions Kurucs,Theo Pinson,Džanan Musa,David Nwaba,Nicolas Claxton","Brandon Ingram,Jrue Holiday,Josh Hart,Jahlil Okafor,Lonzo Ball","Frank Jackson,J.J. Redick,Jaxson Hayes,E'Twaun Moore,Derrick Favors,Kenrich Williams,Nickeil Alexander-Walker,Nicolò Melli","Tyler Ford,Jenna Schroeder,Sean Wright",69.72072268009768,60.7706481018981,74.0251025290499,61.53118548649395,4.0,19.0,119.66666666666669,122.0,125.33333333333331,117.33333333333331,260,1,0.07386363636363637,19.5
92,92,2019-11-04,20:00:00,Houston Rockets,Memphis Grizzlies,107,100,0,14197,MEM,HOU,"Dillon Brooks,Jae Crowder,Ja Morant,Jonas Valančiūnas,Brandon Clarke","Tyus Jones,Kyle Anderson,Bruno Caboclo,Marko Guduric,Solomon Hill,John Konchar,De'Anthony Melton,Yuta Watanabe","James Harden,Danuel House,P.J. Tucker,Eric Gordon,Clint Capela","Ben McLemore,Austin Rivers,Tyson Chandler,Thabo Sefolosha,Chris Clemons,Ryan Anderson,Russell Westbrook","Brian Forte,Jacyn Goble,James Williams",70.62665357568093,38.5421805909094,80.16228235652221,56.66075865083831,3.0,29.333333333333336,118.0,113.0,117.33333333333331,107.66666666666669,207,0,0.07386363636363637,20.0
93,93,2019-11-04,20:00:00,Milwaukee Bucks,Minnesota Timberwolves,134,106,0,16271,MIN,MIL,"Andrew Wiggins,Robert Covington,Treveon Graham,Jeff Teague,Gorgui Dieng","Jake Layman,Shabazz Napier,Jarrett Culver,Josh Okogie,Noah Vonleh,Jordan Bell,Karl-Anthony Towns","Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Eric Bledsoe,Wesley Matthews","Donte DiVincenzo,Robin Lopez,Kyle Korver,George Hill,Pat Connaughton,Ersan İlyasova,D.J. Wilson,Sterling Brown","Kane Fitzgerald,Brett Nansel,Scott Wall",57.22760981483291,70.77941577319145,84.68414327306655,51.25511793448649,4.0,47.33333333333333,,,104.33333333333331,120.66666666666669,240,1,0.07386363636363637,20.0
94,94,2019-11-04,21:00:00,Philadelphia 76ers,Phoenix Suns,109,114,0,14285,PHO,PHI,"Ricky Rubio,Devin Booker,Kelly Oubre,Aron Baynes,Dario Šarić","Mikal Bridges,Tyler Johnson,Frank Kaminsky,Jevon Carter,Cameron Johnson,Deandre Ayton,Elie Okobo,Cheick Diallo","Josh Richardson,Tobias Harris,Ben Simmons,Al Horford,Furkan Korkmaz","Mike Scott,Kyle O'Quinn,Raul Neto,James Ennis,Matisse Thybulle,Jonah Bolden,Joel Embiid,Trey Burke","Courtney Kirkland,J.T. Orr,Tom Washington",60.72136403299685,65.95362818270652,71.6531428062678,54.779824277643826,4.0,17.666666666666668,109.0,113.0,115.0,114.33333333333331,223,1,0.07386363636363637,21.0
95,95,2019-11-04,22:30:00,Portland Trail Blazers,Golden State Warriors,118,127,0,18064,GSW,POR,"Eric Paschall,Ky Bowman,Glenn Robinson,Jordan Poole,Willie Cauley-Stein","Damion Lee,Alec Burks,Omari Spellman,Marquese Chriss,Draymond Green,D'Angelo Russell","Damian Lillard,Rodney Hood,CJ McCollum,Hassan Whiteside,Anthony Tolliver","Mario Hezonja,Kent Bazemore,Anfernee Simons,Skal Labissière,Gary Trent,Pau Gasol,Nassir Little","Derrick Collins,Ken Mauer,Derek Richardson",37.44122807017544,75.72646500723533,82.15550087829175,31.63126813346228,4.0,15.0,112.66666666666669,108.0,113.0,110.0,245,1,0.07386363636363637,22.5
96,96,2019-11-05,19:00:00,Indiana Pacers,Charlotte Hornets,120,122,1,13341,CHO,IND,"Terry Rozier,Miles Bridges,P.J. Washington,Cody Zeller,Dwayne Bacon","Devonte' Graham,Cody Martin,Bismack Biyombo,Marvin Williams,Malik Monk,Michael Kidd-Gilchrist,Willy Hernangómez,Caleb Martin","T.J. Warren,Malcolm Brogdon,Jeremy Lamb,Goga Bitadze,JaKarr Sampson","Justin Holiday,Aaron Holiday,Doug McDermott,T.J. Leaf,T.J. McConnell,Naz Mitrou-Long,Alize Johnson,Brian Bowen","Scott Foster,Mark Lindsay,Justin Van Duyne",60.02316534040672,61.70908108764164,54.85968469300105,44.43887561949853,5.0,12.333333333333332,122.0,115.66666666666669,108.66666666666669,110.66666666666669,242,1,0.07954545454545454,19.0
97,97,2019-11-05,19:00:00,Boston Celtics,Cleveland Cavaliers,119,113,0,17709,CLE,BOS,"Tristan Thompson,Collin Sexton,Cedi Osman,Kevin Love,Darius Garland","Jordan Clarkson,Larry Nance,Brandon Knight,Matthew Dellavedova,Alfonzo McKinnie,Tyler Cook,Dean Wade","Marcus Smart,Jayson Tatum,Kemba Walker,Gordon Hayward,Daniel Theis","Brad Wanamaker,Carsen Edwards,Robert Williams,Grant Williams,Semi Ojeleye,Javonte Green,Vincent Poirier,Enes Kanter","Nick Buchert,Simone Jelks,Ed Malloy",73.76398305084746,33.480313662945235,84.81301248427059,33.392642361190575,6.0,17.333333333333332,120.33333333333331,113.66666666666669,105.0,110.0,232,1,0.07954545454545454,19.0
98,98,2019-11-05,19:30:00,San Antonio Spurs,Atlanta Hawks,100,108,0,14025,ATL,SAS,"De'Andre Hunter,Jabari Parker,Trae Young,Cam Reddish,Alex Len","Kevin Huerter,DeAndre' Bembry,Damian Jones,Vince Carter,Bruno Fernando,Tyrone Wallace,John Collins,Brandon Goodwin","DeMar DeRozan,LaMarcus Aldridge,Bryn Forbes,Trey Lyles,Dejounte Murray","Patty Mills,Rudy Gay,Derrick White,Jakob Poeltl,Marco Belinelli,Lonnie Walker,DeMarre Carroll,Chimezie Metu","Curtis Blair,Pat Fraher,C.J. Washington",75.4929783407616,63.322332944934786,69.35806130708377,55.117406031240996,7.0,21.33333333333333,103.66666666666669,102.66666666666669,107.0,108.0,208,0,0.07954545454545454,19.5
99,99,2019-11-05,20:00:00,Los Angeles Lakers,Chicago Bulls,118,112,0,21193,CHI,LAL,"Zach LaVine,Wendell Carter,Lauri Markkanen,Otto Porter,Tomáš Satoranský","Coby White,Kris Dunn,Luke Kornet,Thaddeus Young,Chandler Hutchison,Ryan Arcidiacono,Shaquille Harrison,Daniel Gafford","LeBron James,Anthony Davis,Danny Green,Kentavious Caldwell-Pope,JaVale McGee","Quinn Cook,Dwight Howard,Alex Caruso,Kyle Kuzma,Troy Daniels,Jared Dudley,Rajon Rondo,DeMarcus Cousins,Avery Bradley","Kevin Cutler,John Goble,Suyash Mehta",62.07626373626374,59.06066579956372,76.94574314574317,51.644444118090476,4.0,15.666666666666668,110.66666666666669,102.66666666666669,106.0,113.33333333333331,230,1,0.07954545454545454,20.0
100,100,2019-11-05,20:00:00,Orlando Magic,Oklahoma City Thunder,94,102,0,18203,OKC,ORL,"Shai Gilgeous-Alexander,Chris Paul,Danilo Gallinari,Steven Adams,Terrance Ferguson","Dennis Schröder,Darius Bazley,Hamidou Diallo,Nerlens Noel,Mike Muscala,Justin Patton,Abdel Nader,Deonte Burton","Nikola Vučević,Evan Fournier,Jonathan Isaac,Aaron Gordon,Markelle Fultz","D.J. Augustin,Al-Farouq Aminu,Terrence Ross,Mohamed Bamba,Khem Birch,Michael Carter-Williams,Melvin Frazier,Wesley Iwundu","Kevin Scott,Scott Twardoski,Leon Wood",71.29610190575707,52.51661057252179,76.74211602076922,47.00595238095239,6.0,22.0,100.0,105.33333333333331,103.0,96.0,196,0,0.07954545454545454,20.0
101,101,2019-11-05,21:00:00,Miami Heat,Denver Nuggets,89,109,0,18010,DEN,MIA,"Jamal Murray,Will Barton,Nikola Jokić,Gary Harris,Paul Millsap","Jerami Grant,Mason Plumlee,Monte Morris,Torrey Craig,Malik Beasley,Michael Porter,Jarred Vanderbilt,Juan Hernangómez","Kendrick Nunn,Justise Winslow,Jimmy Butler,Bam Adebayo,Meyers Leonard","Goran Dragić,Kelly Olynyk,Derrick Jones,Tyler Herro,Duncan Robinson,Chris Silva,James Johnson,Udonis Haslem","James Capers Jr.,Marat Kogut,Tre Maddox",76.44851097178685,50.44244243963584,69.48107828338243,62.915350460640965,5.0,32.33333333333333,101.66666666666669,107.66666666666669,107.33333333333331,101.33333333333331,198,0,0.07954545454545454,21.0
102,102,2019-11-06,19:00:00,New York Knicks,Detroit Pistons,102,122,0,15463,DET,NYK,"Andre Drummond,Bruce Brown,Tony Snell,Luke Kennard,Markieff Morris","Langston Galloway,Christian Wood,Sviatoslav Mykhailiuk,Thon Maker,Khyri Thomas,Jordan Bone,Derrick Rose","Frank Ntilikina,RJ Barrett,Marcus Morris,Julius Randle,Mitchell Robinson","Kevin Knox,Taj Gibson,Bobby Portis,Wayne Ellington,Allonzo Trier,Damyean Dotson,Ignas Brazdeikis","Brent Barnaky,Ashley Moyer-Gleich,Ben Taylor",60.52962701678442,58.41042521994135,67.1382111201999,42.79832474872797,5.0,27.66666666666667,101.66666666666669,110.33333333333331,107.0,95.66666666666669,224,1,0.08522727272727272,19.0
103,103,2019-11-06,19:00:00,Washington Wizards,Indiana Pacers,106,121,0,16171,IND,WAS,"Malcolm Brogdon,T.J. Warren,Aaron Holiday,Domantas Sabonis,JaKarr Sampson","Doug McDermott,Goga Bitadze,Justin Holiday,T.J. McConnell,Alize Johnson,T.J. Leaf,Naz Mitrou-Long,Brian Bowen","Bradley Beal,Thomas Bryant,Rui Hachimura,Isaiah Thomas,Isaac Bonga","Dāvis Bertāns,Ish Smith,C.J. Miles,Troy Brown,Moritz Wagner,Jordan McRae","Nick Buchert,Kane Fitzgerald,Andy Nagy",67.12795871925323,38.12712333237678,72.80118336210586,53.32147147147148,3.0,27.66666666666667,98.66666666666669,110.33333333333331,110.0,108.33333333333331,227,1,0.08522727272727272,19.0
104,104,2019-11-06,19:30:00,Chicago Bulls,Atlanta Hawks,113,93,0,15049,ATL,CHI,"Trae Young,Jabari Parker,De'Andre Hunter,Cam Reddish,Alex Len","DeAndre' Bembry,Kevin Huerter,Bruno Fernando,Vince Carter,Tyrone Wallace,Damian Jones,Charlie Brown,John Collins","Lauri Markkanen,Zach LaVine,Tomáš Satoranský,Wendell Carter,Otto Porter","Coby White,Kris Dunn,Thaddeus Young,Chandler Hutchison,Ryan Arcidiacono,Luke Kornet,Shaquille Harrison,Daniel Gafford","David Guthrie,Aaron Smith,Justin Van Duyne",75.49297834076158,59.26350941552303,62.07626373626374,59.06066579956372,2.0,25.333333333333336,106.33333333333331,99.33333333333331,106.0,106.33333333333331,206,0,0.08522727272727272,19.5
105,105,2019-11-06,19:30:00,Golden State Warriors,Houston Rockets,112,129,0,18055,HOU,GSW,"Danuel House,P.J. Tucker,Clint Capela,James Harden,Russell Westbrook","Austin Rivers,Ben McLemore,Thabo Sefolosha,Chris Clemons,Tyson Chandler,Michael Frazier,Ryan Anderson","Ky Bowman,Glenn Robinson,Eric Paschall,Jordan Poole,Willie Cauley-Stein","Alec Burks,Damion Lee,Omari Spellman,Marquese Chriss,Jacob Evans,D'Angelo Russell","Eric Dalen,Marc Davis,Karl Lane",93.10456870502388,30.939060537630766,37.44122807017544,72.11700229673009,4.0,28.333333333333336,115.66666666666669,123.66666666666669,124.0,112.66666666666669,241,1,0.08522727272727272,19.5
106,106,2019-11-06,19:30:00,Sacramento Kings,Toronto Raptors,120,124,0,19800,TOR,SAC,"Kyle Lowry,OG Anunoby,Pascal Siakam,Fred VanVleet,Marc Gasol","Serge Ibaka,Norman Powell,Matt Thomas,Terence Davis,Chris Boucher,Rondae Hollis-Jefferson,Malcolm Miller,Stanley Johnson","Harrison Barnes,De'Aaron Fox,Buddy Hield,Richaun Holmes,Nemanja Bjelica","Bogdan Bogdanović,Cory Joseph,Dewayne Dedmon,Trevor Ariza,Yogi Ferrell,Caleb Swanigan,Justin James,Wenyen Gabriel","John Conley,Michael Smith,Josh Tiven",79.32961993457276,60.29500437062937,79.63995726495726,45.85394701167107,7.0,17.333333333333332,109.33333333333331,117.66666666666669,109.66666666666669,104.66666666666669,244,1,0.08522727272727272,19.5
107,107,2019-11-06,20:00:00,Minnesota Timberwolves,Memphis Grizzlies,121,137,0,13503,MEM,MIN,"Jae Crowder,Dillon Brooks,Jonas Valančiūnas,Ja Morant,Jaren Jackson","Tyus Jones,Brandon Clarke,Kyle Anderson,Marko Guduric,Bruno Caboclo,Solomon Hill,De'Anthony Melton,Grayson Allen","Andrew Wiggins,Karl-Anthony Towns,Jarrett Culver,Robert Covington,Josh Okogie","Treveon Graham,Jake Layman,Jordan McLaughlin,Noah Vonleh,Gorgui Dieng,Jaylen Nowell,Jordan Bell,Shabazz Napier","Ray Acosta,Eric Lewis,Phenizee Ransom",58.586653575680934,52.67384725757608,78.82597712920294,49.749975012493756,4.0,32.666666666666664,114.0,114.0,121.0,115.66666666666669,258,1,0.08522727272727272,20.0
108,108,2019-11-06,20:30:00,Orlando Magic,Dallas Mavericks,106,107,0,19487,DAL,ORL,"Luka Dončić,Dwight Powell,Kristaps Porziņģis,Dorian Finney-Smith,Seth Curry","Tim Hardaway,Maxi Kleber,Justin Jackson,J.J. Barea,Delon Wright,Jalen Brunson,Boban Marjanović,Courtney Lee","Aaron Gordon,Nikola Vučević,Jonathan Isaac,Evan Fournier,Markelle Fultz","D.J. Augustin,Michael Carter-Williams,Khem Birch,Al-Farouq Aminu,Wesley Iwundu,Melvin Frazier,Amile Jefferson,Josh Magette","Tyler Ford,Jacyn Goble,Rodney Mott",79.22487548927292,48.48181729855958,76.7421160207692,34.57738095238096,4.0,14.333333333333332,115.33333333333331,112.0,104.33333333333331,98.33333333333331,213,0,0.08522727272727272,20.5
109,109,2019-11-06,21:00:00,Philadelphia 76ers,Utah Jazz,104,106,0,18306,UTA,PHI,"Rudy Gobert,Bojan Bogdanović,Donovan Mitchell,Mike Conley,Royce O'Neale","Joe Ingles,Jeff Green,Tony Bradley,Georges Niang,Stanton Kidd,Jarrell Brantley,Miye Oni,Nigel Williams-Goss","Joel Embiid,Tobias Harris,Josh Richardson,Al Horford,Ben Simmons","Raul Neto,Furkan Korkmaz,Mike Scott,Matisse Thybulle,James Ennis,Kyle O'Quinn,Trey Burke,Jonah Bolden","Derrick Collins,Jason Goldenberg,Ken Mauer",79.58822886615962,29.072547892720305,85.35058598808598,41.082381095825646,5.0,7.333333333333334,93.66666666666669,109.66666666666669,116.0,114.0,210,0,0.08522727272727272,21.0
110,110,2019-11-06,22:00:00,Milwaukee Bucks,Los Angeles Clippers,129,124,0,19068,LAC,MIL,"Montrezl Harrell,Lou Williams,Patrick Beverley,Landry Shamet,Patrick Patterson","JaMychal Green,Maurice Harkless,Jerome Robinson,Rodney McGruder,Ivica Zubac,Mfiondu Kabengele,Derrick Walton,Terance Mann","Giannis Antetokounmpo,Khris Middleton,Brook Lopez,Eric Bledsoe,Wesley Matthews","George Hill,Kyle Korver,Pat Connaughton,Ersan İlyasova,Donte DiVincenzo,Robin Lopez,D.J. Wilson,Sterling Brown","Mitchell Ervin,Courtney Kirkland,Zach Zarba",59.43352404791703,34.1881737818633,84.68414327306655,51.25511793448649,5.0,21.66666666666667,106.66666666666669,110.66666666666669,107.0,128.66666666666666,253,1,0.08522727272727272,22.0
111,111,2019-11-07,20:00:00,Boston Celtics,Charlotte Hornets,108,87,0,18487,CHO,BOS,"Miles Bridges,P.J. Washington,Terry Rozier,Dwayne Bacon,Cody Zeller","Devonte' Graham,Malik Monk,Marvin Williams,Cody Martin,Bismack Biyombo,Willy Hernangómez,Caleb Martin,Michael Kidd-Gilchrist","Jaylen Brown,Gordon Hayward,Kemba Walker,Jayson Tatum,Daniel Theis","Marcus Smart,Brad Wanamaker,Grant Williams,Robert Williams,Javonte Green,Carsen Edwards,Vincent Poirier,Semi Ojeleye","Matt Boland,Pat Fraher,Leon Wood",60.02316534040672,61.70908108764165,91.78131437106306,38.70747772930008,4.0,19.33333333333333,116.33333333333331,102.66666666666669,98.33333333333331,115.0,195,0,0.09090909090909091,20.0
112,112,2019-11-07,20:30:00,Oklahoma City Thunder,San Antonio Spurs,112,121,0,18354,SAS,OKC,"LaMarcus Aldridge,DeMar DeRozan,Dejounte Murray,Bryn Forbes,Trey Lyles","Patty Mills,Rudy Gay,Derrick White,Marco Belinelli,Jakob Poeltl,DeMarre Carroll,Chimezie Metu,Lonnie Walker","Shai Gilgeous-Alexander,Danilo Gallinari,Chris Paul,Steven Adams,Terrance Ferguson","Hamidou Diallo,Dennis Schröder,Nerlens Noel,Darius Bazley,Mike Muscala,Deonte Burton,Devon Hall,Abdel Nader","Eric Dalen,Marc Davis,Haywoode Workman",69.35806130708377,55.117406031240996,71.29610190575707,51.7166105725218,4.0,17.333333333333336,108.33333333333331,110.0,112.33333333333331,106.33333333333331,233,1,0.09090909090909091,20.5
113,113,2019-11-07,21:00:00,Miami Heat,Phoenix Suns,124,108,0,15498,PHO,MIA,"Devin Booker,Ricky Rubio,Dario Šarić,Aron Baynes,Kelly Oubre","Mikal Bridges,Cameron Johnson,Frank Kaminsky,Tyler Johnson,Jevon Carter,Cheick Diallo,Elie Okobo,Deandre Ayton","Bam Adebayo,Jimmy Butler,Duncan Robinson,Kendrick Nunn,Meyers Leonard","Goran Dragić,Tyler Herro,Kelly Olynyk,James Johnson,Derrick Jones,Chris Silva,Udonis Haslem,Dion Waiters","Mark Ayotte,Derrick Collins,Jason Goldenberg",60.72136403299685,65.95362818270652,71.48527408757823,58.97176071705121,5.0,31.66666666666667,109.66666666666669,105.66666666666669,104.66666666666669,106.33333333333331,232,1,0.09090909090909091,21.0
114,114,2019-11-07,22:30:00,Portland Trail Blazers,Los Angeles Clippers,101,107,0,19068,LAC,POR,"Kawhi Leonard,Patrick Beverley,Landry Shamet,Patrick Patterson,Ivica Zubac","Lou Williams,Montrezl Harrell,Maurice Harkless,JaMychal Green,Rodney McGruder,Jerome Robinson,Mfiondu Kabengele,Terance Mann","CJ McCollum,Damian Lillard,Rodney Hood,Hassan Whiteside,Anthony Tolliver","Anfernee Simons,Mario Hezonja,Skal Labissière,Kent Bazemore,Pau Gasol,Gary Trent,Nassir Little","James Capers Jr.,Marat Kogut,Gediminas Petraitis",57.01159652690863,61.43438486244938,82.15550087829175,31.63126813346228,4.0,12.666666666666664,108.0,112.0,111.0,107.0,208,0,0.09090909090909091,22.5
115,115,2019-11-08,19:00:00,Detroit Pistons,Indiana Pacers,106,112,0,15544,IND,DET,"Domantas Sabonis,Malcolm Brogdon,T.J. Warren,Aaron Holiday,JaKarr Sampson","Justin Holiday,T.J. McConnell,Doug McDermott,T.J. Leaf,Alize Johnson,Myles Turner","Luke Kennard,Bruce Brown,Andre Drummond,Tony Snell,Markieff Morris","Langston Galloway,Sviatoslav Mykhailiuk,Christian Wood,Thon Maker,Derrick Rose,Jordan Bone,Khyri Thomas","Tyler Ford,Jenna Schroeder,Tom Washington",67.12795871925323,41.394779485747215,60.52962701678442,58.41042521994135,4.0,21.66666666666667,102.33333333333331,113.66666666666669,113.0,103.66666666666669,218,0,0.09659090909090909,19.0
116,116,2019-11-08,19:00:00,Memphis Grizzlies,Orlando Magic,86,118,0,17021,ORL,MEM,"Nikola Vučević,Aaron Gordon,Jonathan Isaac,Evan Fournier,Markelle Fultz","Michael Carter-Williams,D.J. Augustin,Al-Farouq Aminu,Mohamed Bamba,Wesley Iwundu,Amile Jefferson,Khem Birch","Jaren Jackson,Ja Morant,Jae Crowder,Dillon Brooks,Jonas Valančiūnas","Marko Guduric,Brandon Clarke,Kyle Anderson,Tyus Jones,Solomon Hill,Bruno Caboclo,De'Anthony Melton,Grayson Allen","Sean Corbin,Karl Lane,Justin Van Duyne",76.7421160207692,31.87738095238095,58.586653575680934,52.67384725757608,4.0,32.0,100.0,98.66666666666669,119.33333333333331,92.66666666666669,204,0,0.09659090909090909,19.0
117,117,2019-11-08,19:00:00,Cleveland Cavaliers,Washington Wizards,113,100,0,16946,WAS,CLE,"Bradley Beal,Rui Hachimura,Thomas Bryant,Isaiah Thomas,Troy Brown","Dāvis Bertāns,Ish Smith,C.J. Miles,Moritz Wagner,Jordan McRae,Justin Robinson,Admiral Schofield,Isaac Bonga","Cedi Osman,Tristan Thompson,Darius Garland,Collin Sexton,Kevin Love","Jordan Clarkson,Kevin Porter,Larry Nance,Matthew Dellavedova,Alfonzo McKinnie,Tyler Cook,Brandon Knight","Ben Taylor,Dedric Taylor,Josh Tiven",68.21497646555413,62.42619688654172,73.76398305084746,31.81364699627857,5.0,27.666666666666664,114.33333333333331,108.0,110.33333333333331,106.66666666666669,213,0,0.09659090909090909,19.0
118,118,2019-11-08,19:30:00,Sacramento Kings,Atlanta Hawks,121,109,0,16447,ATL,SAC,"Trae Young,Jabari Parker,De'Andre Hunter,Cam Reddish,Alex Len","Kevin Huerter,DeAndre' Bembry,Vince Carter,Damian Jones,Bruno Fernando,Tyrone Wallace,John Collins","Harrison Barnes,De'Aaron Fox,Richaun Holmes,Buddy Hield,Nemanja Bjelica","Cory Joseph,Bogdan Bogdanović,Trevor Ariza,Dewayne Dedmon,Harry Giles,Yogi Ferrell,Wenyen Gabriel,Caleb Swanigan","Mousa Dagher,J.T. Orr,Kevin Scott",75.49297834076158,57.26350941552303,79.63995726495726,50.32763122219738,4.0,25.66666666666667,111.33333333333331,103.33333333333331,108.33333333333331,118.0,230,1,0.09659090909090909,19.5
